"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final"
"PSME",91,"o","60",10,"60_10_o",7.06380313495705,92.936196865043,66.5988361890608,33.4011638109392,35.9398866508843
"PSME",92,"n","60",10,"60_10_n",7.42863260966991,92.5713673903301,70.3739345614518,29.6260654385482,32.0034869028444
"PSME",92,"o","60",10,"60_10_o",7.70752452425126,92.2924754757487,55.2938426461106,44.7061573538894,48.4396556961316
"PSME",58,"n","60",20,"60_20_n",28.2419476041,71.7580523959,84.8421601952381,15.1578398047619,21.1235384722174
"PSME",58,"o","60",20,"60_20_o",10.3994871205448,89.6005128794552,66.2589064192801,33.7410935807199,37.6572549602632
"PSME",59,"n","60",20,"60_20_n",19.3887381354681,80.6112618645319,70.8681685859478,29.1318314140522,36.1386619440452
"PSME",59,"o","60",20,"60_20_o",11.2091282974963,88.7908717025037,69.6982736787665,30.3017263212335,34.1270738086234
"PSME",60,"n","60",20,"60_20_n",6.18497161862885,93.8150283813711,65.7139566092291,34.2860433907709,36.5464296950307
"PSME",60,"o","60",20,"60_20_o",9.06603340227863,90.9339665977214,57.2676888797351,42.7323111202649,46.9926835033012
"PSME",55,"n","60",65,"60_65_n",28.6439794708947,71.3560205291053,80.0938199635007,19.9061800364993,27.8969873724667
"PSME",55,"o","60",65,"60_65_o",9.64104084398971,90.3589591560103,67.7551371108715,32.2448628891285,35.6852969426703
"PSME",56,"n","60",65,"60_65_n",31.7445903846546,68.2554096153454,87.4784700089875,12.5215299910125,18.3451100236271
"PSME",56,"o","60",65,"60_65_o",8.23540840477156,91.7645915952284,79.0530611168721,20.9469388831279,22.8268208019978
"PSME",57,"n","60",65,"60_65_n",9.56018056561627,90.4398194343837,61.2229106654464,38.7770893345536,42.8761242305303
"PSME",57,"o","60",65,"60_65_o",10.971580945384,89.028419054616,63.6713107752653,36.3286892247347,40.8057220497741
"PSME",52,"n","60",110,"60_110_n",9.18815945393835,90.8118405460617,77.4870323173601,22.5129676826399,24.7907844916114
"PSME",52,"o","60",110,"60_110_o",12.1233427534396,87.8766572465604,59.912532024945,40.087467975055,45.6178799138654
"PSME",53,"n","60",110,"60_110_n",17.2486313155398,82.7513686844602,61.8124957046071,38.1875042953929,46.1472781689037
"PSME",53,"o","60",110,"60_110_o",9.40198340961611,90.5980165903839,74.9127711721346,25.0872288278654,27.6907042471923
"PSME",54,"n","60",110,"60_110_n",24.9018559558399,75.0981440441601,67.4057700547341,32.5942299452659,43.4021777237257
"PSME",54,"o","60",110,"60_110_o",8.02610089576159,91.9738991042384,65.2315879776298,34.7684120223702,37.80247696465
"PSME",64,"n","65",70,"65_70_n",11.929256341833,88.070743658167,69.3565858418447,30.6434141581553,34.794090392938
"PSME",64,"o","65",70,"65_70_o",13.0974746904093,86.9025253095907,72.5981907588014,27.4018092411986,31.5316604938458
"PSME",65,"n","65",70,"65_70_n",11.0822666291114,88.9177333708886,73.2284714750448,26.7715285249552,30.1081994671269
"PSME",65,"o","65",70,"65_70_o",10.6795114898742,89.3204885101258,85.3913987838467,14.6086012161533,16.3552634561522
"PSME",66,"n","65",70,"65_70_n",11.8767740366198,88.1232259633802,68.3351907061832,31.6648092938168,35.9324218418595
"PSME",66,"o","65",70,"65_70_o",6.94133807750808,93.0586619224919,65.9482089341997,34.0517910658003,36.5917480031702
"PSME",67,"n","65",50,"65_50_n",9.90953044941217,90.0904695505878,73.6716060469989,26.3283939530011,29.224394194346
"PSME",67,"o","65",50,"65_50_o",8.71007351371346,91.2899264862865,59.4918790527617,40.5081209472383,44.3730458621011
"PSME",68,"n","65",50,"65_50_n",12.5949332724351,87.4050667275649,65.8314490553527,34.1685509446473,39.0921856408486
"PSME",68,"o","65",50,"65_50_o",11.4310045142386,88.5689954857614,74.0103849872948,25.9896150127052,29.3439198109494
"PSME",69,"n","65",50,"65_50_n",11.3025100858464,88.6974899141536,64.6390764060313,35.3609235939687,39.8668819469333
"PSME",69,"o","65",50,"65_50_o",12.4095405864255,87.5904594135745,55.4679802850023,44.5320197149977,50.8411760974236
"PSME",70,"n","65",30,"65_30_n",15.1503007880216,84.8496992119784,67.3697791997669,32.6302208002331,38.4564955483386
"PSME",70,"o","65",30,"65_30_o",9.87896539965974,90.1210346003403,59.601658546591,40.398341453409,44.8267617349973
"PSME",71,"n","65",30,"65_30_n",10.2642239103538,89.7357760896462,69.8101010840899,30.1898989159101,33.6431022625249
"PSME",71,"o","65",30,"65_30_o",11.1079900459835,88.8920099540165,77.9769872656673,22.0230127343327,24.7750194260712
"PSME",72,"n","65",10,"65_10_n",8.72492586366779,91.2750741363322,57.9636034043091,42.0363965956909,46.0546288167388
"PSME",72,"o","65",10,"65_10_o",8.87624725162514,91.1237527483749,67.5073902759649,32.4926097240351,35.6576729382061
"PSME",73,"n","65",30,"65_30_n",7.15987246340518,92.8401275365948,65.0757945955532,34.9242054044468,37.6175758598358
"PSME",73,"o","65",30,"65_30_o",5.23137222253423,94.7686277774658,69.90259843499,30.09740156501,31.7588238543289
"PSME",74,"n","65",10,"65_10_n",9.53617738081248,90.4638226191875,72.3908682255412,27.6091317744588,30.5195281109013
"PSME",74,"o","65",10,"65_10_o",7.86789165518247,92.1321083448175,67.7358729590512,32.2641270409488,35.019416814164
"PSME",75,"n","65",10,"65_10_n",10.5502826956536,89.4497173043464,72.9433081216558,27.0566918783442,30.247934475059
"PSME",75,"o","65",10,"65_10_o",9.78573237441208,90.2142676255879,76.7829297310667,23.2170702689333,25.7354749752999
"PSME",76,"n","45",3500,"45_3500_n",9.87954538082263,90.1204546191774,73.0629048916569,26.9370951083431,29.8901012230479
"PSME",77,"n","45",2250,"45_2250_n",13.4418320768289,86.5581679231711,64.701479757514,35.298520242486,40.7801147938077
"PSME",77,"o","45",2250,"45_2250_o",8.66614465282266,91.3338553471773,12.2542099744286,87.7457900255714,96.0714837800649
"PSME",78,"o","50",2250,"50_2250_o",8.15535076687355,91.8446492331264,75.5371495531382,24.4628504468618,26.6350306208569
"PSME",84,"o","50",250,"50_250_o",10.690537084399,89.309462915601,12.4908558888076,87.5091441111924,97.984179116484
"PSME",85,"n","50",250,"50_250_n",26.6136344323197,73.3863655676803,53.5015812310203,46.4984187689797,63.3611140288678
"PSME",85,"o","50",250,"50_250_o",9.16802275690458,90.8319772430954,13.025631606469,86.974368393531,95.7530277699007
"PSME",86,"n","50",250,"50_250_n",11.2512402023396,88.7487597976604,47.2365479892657,52.7634520107343,59.452607710835
"PSME",86,"o","50",250,"50_250_o",8.66690503780266,91.3330949621973,9.90162716313044,90.0983728368696,98.6481109330207
"PSME",300,"n","50",250,"50_250_n",27.4905211420777,72.5094788579223,59.3185281950795,40.6814718049205,56.105039569562
"PSME",87,"n","55",25,"55_25_n",14.3561156739603,85.6438843260397,47.4305179990657,52.5694820009343,61.3814779824865
"PSME",87,"o","55",25,"55_25_o",6.17331838077789,93.8266816192221,14.4179450665447,85.5820549334553,91.2129188163916
"PSME",88,"n","55",25,"55_25_n",6.81699696830954,93.1830030316905,33.4102894513207,66.5897105486793,71.4612197312776
"PSME",88,"o","55",25,"55_25_o",7.40218352915025,92.5978164708498,21.6596554765718,78.3403445234282,84.6027989743042
"PSME",89,"n","55",25,"55_25_n",9.91993150304096,90.080068496959,32.1790311480714,67.8209688519286,75.289650622566
"PSME",89,"o","55",25,"55_25_o",8.84659057703423,91.1534094229658,14.9535228344335,85.0464771655665,93.3003797706982
"PSME",93,"n","65",5,"65_5_n",11.2437507760913,88.7562492239087,66.915656988664,33.084343011336,37.2755082606893
"PSME",93,"o","65",5,"65_5_o",6.72845227062095,93.2715477293791,63.2784743561616,36.7215256438384,39.3705546201327
"PSME",94,"n","65",5,"65_5_n",12.454022719148,87.545977280852,71.5561494118216,28.4438505881784,32.4901856962873
"PSME",94,"o","65",5,"65_5_o",14.7513793864105,85.2486206135895,68.6172093635349,31.3827906364651,36.8132532944027
"PSME",95,"n","65",5,"65_5_n",11.7363164823154,88.2636835176846,65.5426599749059,34.4573400250941,39.0390913361215
"PSME",95,"o","65",5,"65_5_o",11.9024985689257,88.0975014310743,70.8542713567839,29.1457286432161,33.0834906436241
"PSME",99,"n","65",2,"65_2_n",14.2133830402882,85.7866169597118,52.1000487357259,47.8999512642741,55.8361583214891
"PSME",99,"o","65",2,"65_2_o",8.71988805866141,91.2801119413386,49.7010950461028,50.2989049538972,55.1039036698618
"PSME",100,"n","65",2,"65_2_n",8.16003272820781,91.8399672717922,55.2133916294182,44.7866083705818,48.7659237051336
