"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PIPO",49,"n","55",160,"55_160_n",8.38293146402173,91.6170685359783,18.3678033766138,81.6321966233862,83.0741982329771,"55_n","autumn"
"PIPO",99,"n","55",620,"55_620_n",7.7287548555465,92.2712451444535,67.661311498304,32.338688501696,-0.874075390213593,"55_n","autumn"
"PIPO",100,"n","55",620,"55_620_n",8.2171794745311,91.7828205254689,60.4749813556764,39.5250186443236,11.5754451550046,"55_n","autumn"
"PIPO",101,"n","55",620,"55_620_n",9.16783542589238,90.8321645741076,73.9133243417189,26.0866756582811,-10.701369764791,"55_n","autumn"
"PIPO",1002,"n","55",0,"55_0_n",0,100,0,100,100,"55_n","autumn"
"PIPO",35,"o","55",25,"55_25_o",8.00892142506553,91.9910785749345,8.33051036416206,91.6694896358379,99.4657201835945,"55_o","autumn"
"PIPO",36,"o","55",25,"55_25_o",7.53616370647668,92.4638362935233,12.9114303811916,87.0885696188084,91.1153262916418,"55_o","autumn"
"PIPO",37,"o","55",25,"55_25_o",8.86228416312903,91.137715836871,9.38370309701368,90.6162969029863,99.125616339236,"55_o","autumn"
"PIPO",38,"o","55",50,"55_50_o",7.98548807427251,92.0145119257275,8.2030878424641,91.7969121575359,99.6385772570864,"55_o","autumn"
"PIPO",39,"o","55",50,"55_50_o",7.60676756866798,92.393232431332,8.07912975020084,91.9208702497992,99.2186451104452,"55_o","autumn"
"PIPO",40,"o","55",50,"55_50_o",8.71422166488329,91.2857783351167,8.26149173945229,91.7385082605477,100.757965529556,"55_o","autumn"
"PIPO",41,"o","55",500,"55_500_o",7.83471785577766,92.1652821442223,65.900962997319,34.099037002681,3.71253293670187,"55_o","autumn"
"PIPO",42,"o","55",500,"55_500_o",8.84859835280715,91.1514016471928,65.473606449037,34.526393550963,5.05801623249403,"55_o","autumn"
"PIPO",43,"o","55",500,"55_500_o",7.75829648046269,92.2417035195373,68.7038544302774,31.2961455697226,-0.978314752446886,"55_o","autumn"
"PIPO",44,"o","55",380,"55_380_o",9.17484805984105,90.8251519401589,31.1337743161252,68.8662256838748,63.0496681475735,"55_o","autumn"
"PIPO",45,"o","55",380,"55_380_o",5.65643273760876,94.3435672623912,29.1400040569773,70.8599959430227,61.9578348656543,"55_o","autumn"
"PIPO",46,"o","55",380,"55_380_o",8.27362413507626,91.7263758649237,43.6411020104244,56.3588979895756,41.0717923655267,"55_o","autumn"
"PIPO",47,"o","55",160,"55_160_o",8.51846952160951,91.4815304783905,12.4282283499146,87.5717716500854,93.4682444457767,"55_o","autumn"
"PIPO",48,"o","55",160,"55_160_o",9.17754569190601,90.822454308094,12.1745507884122,87.8254492115878,94.9567833679628,"55_o","autumn"
"PIPO",49,"o","55",160,"55_160_o",7.17296252975128,92.8270374702487,11.6183814498153,88.3816185501847,92.6810028310638,"55_o","autumn"
"PIPO",99,"o","55",620,"55_620_o",8.54466884389281,91.4553311561072,76.8141448796695,23.1858551203305,-14.0856231777455,"55_o","autumn"
"PIPO",100,"o","55",620,"55_620_o",8.49828040731735,91.5017195926826,57.2387005649718,42.7612994350282,18.5908184146213,"55_o","autumn"
"PIPO",101,"o","55",620,"55_620_o",8.51180198973099,91.488198010269,71.0707703918469,28.9292296081531,-4.50519523687584,"55_o","autumn"
"PIPO",1002,"o","55",0,"55_0_o",0,100,0,100,100,"55_o","autumn"
"PIPO",50,"n","50",1375,"50_1375_n",8.21863957570268,91.7813604242973,60.1877859576212,39.8122140423788,-7.23257205212666,"50_n","autumn"
"PIPO",51,"n","50",1375,"50_1375_n",7.3941550227653,92.6058449772347,48.3783991330309,51.6216008669691,16.1864644442965,"50_n","autumn"
"PIPO",52,"n","50",1375,"50_1375_n",7.30707285234718,92.6929271476528,40.4410535262158,59.5589464737842,32.3040561195392,"50_n","autumn"
"PIPO",53,"n","50",500,"50_500_n",7.8928790330693,92.1071209669307,10.6832373607627,89.3167626392373,94.2627681580553,"50_n","autumn"
"PIPO",54,"n","50",500,"50_500_n",8.47162498602535,91.5283750139747,14.0171803858677,85.9828196141323,88.5257336585407,"50_n","autumn"
"PIPO",55,"n","50",500,"50_500_n",9.61510997773025,90.3848900222698,11.8719953204128,88.1280046795872,95.2712180086501,"50_n","autumn"
"PIPO",56,"n","50",250,"50_250_n",6.83818046234154,93.1618195376585,10.7091172214182,89.2908827785818,92.1311051073887,"50_n","autumn"
"PIPO",57,"n","50",250,"50_250_n",8.24139625909049,91.7586037409095,8.57877595923097,91.421224040769,99.3036817437392,"50_n","autumn"
"PIPO",58,"n","50",250,"50_250_n",8.16082802547771,91.8391719745223,9.76610885443698,90.233891145563,96.6897660385187,"50_n","autumn"
"PIPO",59,"n","50",3125,"50_3125_n",7.02354089354925,92.9764591064507,43.7698754172725,56.2301245827275,25.152611482497,"50_n","autumn"
"PIPO",60,"n","50",3125,"50_3125_n",7.09026421059614,92.9097357894039,52.4011713030747,47.5988286969253,7.64143813857448,"50_n","autumn"
"PIPO",61,"n","50",3125,"50_3125_n",8.57795776507816,91.4220422349218,56.7078531782212,43.2921468217788,0.298973508868768,"50_n","autumn"
"PIPO",62,"n","50",2250,"50_2250_n",7.25143355998821,92.7485664400118,42.6908541194255,57.3091458805745,27.6372543143748,"50_n","autumn"
"PIPO",63,"n","50",2250,"50_2250_n",6.27756487504818,93.7224351249518,54.9776878962569,45.0223121037431,1.59387638252953,"50_n","autumn"
"PIPO",64,"n","50",2250,"50_2250_n",6.81532419868805,93.184675801312,70.4034481973966,29.5965518026034,-29.2311306969044,"50_n","autumn"
"PIPO",1001,"n","50",0,"50_0_n",0,100,0,100,100,"50_n","autumn"
"PIPO",50,"o","50",1375,"50_1375_o",9.01203160526729,90.9879683947327,50.6266748521454,49.3733251478546,31.3002887643926,"50_o","autumn"
"PIPO",51,"o","50",1375,"50_1375_o",8.68381304578701,91.316186954213,57.7458645485527,42.2541354514473,19.2968215927353,"50_o","autumn"
"PIPO",52,"o","50",1375,"50_1375_o",8.16776030842172,91.8322396915783,44.8959721938988,55.1040278061012,39.9245112690649,"50_o","autumn"
"PIPO",53,"o","50",500,"50_500_o",7.81301786070217,92.1869821392978,9.16553113042286,90.8344688695771,97.796238251782,"50_o","autumn"
"PIPO",54,"o","50",500,"50_500_o",9.58110436806427,90.4188956319357,11.5462192556829,88.4537807443171,96.7354640813382,"50_o","autumn"
"PIPO",55,"o","50",500,"50_500_o",9.95675006507242,90.0432499349276,10.1991550910438,89.8008449089563,99.5956260574283,"50_o","autumn"
"PIPO",56,"o","50",250,"50_250_o",8.49162011173184,91.5083798882682,9.80487804878049,90.1951219512195,97.8443320159562,"50_o","autumn"
"PIPO",57,"o","50",250,"50_250_o",9.46717411988582,90.5328258801142,10.600484750236,89.399515249764,98.1196634426397,"50_o","autumn"
"PIPO",58,"o","50",250,"50_250_o",8.21112833063276,91.7888716693672,9.38760477847391,90.6123952215261,98.0747554178189,"50_o","autumn"
"PIPO",59,"o","50",3125,"50_3125_o",8.34106537734104,91.658934622659,60.0006263471275,39.9993736528725,15.3418819671988,"50_o","autumn"
"PIPO",60,"o","50",3125,"50_3125_o",8.76686341048482,91.2331365895152,62.4596390468284,37.5403609531716,11.5992493169425,"50_o","autumn"
"PIPO",61,"o","50",3125,"50_3125_o",9.25702509591116,90.7429749040888,75.2742407648495,24.7257592351505,-9.27904586581054,"50_o","autumn"
"PIPO",62,"o","50",2250,"50_2250_o",7.29885471130063,92.7011452886994,67.354609929078,32.645390070922,2.68893249593641,"50_o","autumn"
"PIPO",63,"o","50",2250,"50_2250_o",6.61687170474517,93.3831282952548,56.9310147639842,43.0689852360158,19.0691008331162,"50_o","autumn"
"PIPO",64,"o","50",2250,"50_2250_o",8.63041920722348,91.3695807927765,82.6943151338655,17.3056848661345,-21.7580333290526,"50_o","autumn"
"PIPO",1001,"o","50",0,"50_0_o",0,100,0,100,100,"50_o","autumn"
"PIPO",65,"o","45",10200,"45_10200_o",11.1617636462027,88.8382363537973,65.1348077738514,34.8651922261486,-9.4991030098548,"45_o","autumn"
"PIPO",66,"o","45",10200,"45_10200_o",10.9419180628892,89.0580819371108,44.7496100829794,55.2503899170206,31.5811512246781,"45_o","autumn"
"PIPO",67,"o","45",10200,"45_10200_o",12.1655647253498,87.8344352746502,67.3666380834418,32.6333619165582,-13.270361222182,"45_o","autumn"
"PIPO",68,"o","45",6000,"45_6000_o",11.1641825347546,88.8358174652454,61.8154570620609,38.1845429379391,-2.76278158263274,"45_o","autumn"
"PIPO",69,"o","45",6000,"45_6000_o",10.2941436100256,89.7058563899744,52.2206304198793,47.7793695801207,15.7633179318955,"45_o","autumn"
"PIPO",70,"o","45",6000,"45_6000_o",11.1163611982608,88.8836388017392,61.2104510594608,38.7895489405392,-1.5776686766762,"45_o","autumn"
"PIPO",72,"o","45",4750,"45_4750_o",8.40792643946499,91.592073560535,51.73659003962,48.26340996038,14.7388905786176,"45_o","autumn"
"PIPO",73,"o","45",4750,"45_4750_o",9.30093464713486,90.6990653528651,46.1492866661571,53.8507133338429,26.7767781261828,"45_o","autumn"
"PIPO",74,"o","45",4750,"45_4750_o",8.50223205459344,91.4977679454066,32.1673309517028,67.8326690482972,53.384386914797,"45_o","autumn"
"PIPO",75,"o","45",3500,"45_3500_o",8.84277226422584,91.1572277357742,28.4192071305893,71.5807928694107,61.2941979517941,"45_o","autumn"
"PIPO",76,"o","45",3500,"45_3500_o",9.68800961802318,90.3119903819768,22.3504557557348,77.6495442442652,74.7299690611049,"45_o","autumn"
"PIPO",77,"o","45",3500,"45_3500_o",9.79737871161092,90.2026212883891,25.4536819502337,74.5463180497663,68.7173423103616,"45_o","autumn"
