"pT","cT","temperature","nrmse","jackVar"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_76"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_77"
0.003211754,0.0006280291,50,0.321605,"PIPO_allothers_77"
0.007790747,0.002782559,55,0.2951734,"PIPO_allothers_77"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_77"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_77"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_78"
0.003211754,0.0006280291,50,0.3138109,"PIPO_allothers_78"
0.007790747,0.002782559,55,0.2939683,"PIPO_allothers_78"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_78"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_78"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_79"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_79"
0.007790747,0.002782559,55,0.2961943,"PIPO_allothers_79"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_79"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_79"
0.0006185552,0.0002056512,45,0.4023588,"PIPO_allothers_80"
0.003211754,0.0006280291,50,0.3196188,"PIPO_allothers_80"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_80"
0.0243401,0.02595024,60,0.3238376,"PIPO_allothers_80"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_80"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_81"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_81"
0.007790747,0.002782559,55,0.2965801,"PIPO_allothers_81"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_81"
0.03398734,0.1668101,65,0.3333137,"PIPO_allothers_81"
0.0006185552,0.0002056512,45,0.4014621,"PIPO_allothers_82"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_82"
0.007790747,0.002782559,55,0.2965809,"PIPO_allothers_82"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_82"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_82"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_83"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_83"
0.007790747,0.002782559,55,0.2916758,"PIPO_allothers_83"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_83"
0.03440533,0.1668101,65,0.3316593,"PIPO_allothers_83"
